Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
除	Excluir, remover	ジョ, ジ	のぞ・く	Remover o excesso (余) para fora dos muros (阝) da cidade ao excluir.	N3
困	Estar em apuros, problema	コン	こま・る	Uma árvore (木) presa dentro de um cercado (囗) sem espaço: estar em apuros.	N3
閉	Fechar	ヘイ	と・じる, と・ざす, し・める, し・まる	Usar uma ferramenta (才) para trancar o portão (門) e fechar.	N3
吸	Sugar, inalar	キュウ	す・う	Usar a boca (口) para alcançar (及) o ar ou líquido ao sugar.	N3
髪	Cabelo	ハツ	かみ	Amigos (友) que cuidam dos ornamentos (彡) nos cabelos longos.	N3
束	Feixe, amarrar	ソク	たば	Uma árvore (木) com um cercado (口) no meio para amarrar um feixe.	N3
眠	Dormir, sono	ミン, ベン	ねむ・る, ねむ・い	Quando o olho (目) do povo (民) se fecha para o descanso do sono.	N3
易	Fácil, troca	エキ, イ	やさ・しい	O sol (日) envolto (勹) que passa (丿) em uma troca rápida e fácil.	N3
窓	Janela	ソウ	まど	Um buraco (穴) privado (厶) que permite ao coração (心) ver pela janela.	N3
祖	Antepassado, avô	ソ	Não possui	Diante de um altar (礻) sobre outro (且) para honrar o antepassado.	N3
勤	Diligência, trabalhar para	キン, ゴン	つと・める, つと・まる	Usar a boca (口) e a força (力) na grama (艹) em um trabalho diligente.	N3
昔	Tempos antigos, passado	セキ, シャク	むかし	O sol (日) que passou por vinte gerações (廿) em tempos antigos.	N3
便	Conveniente, correio	ベン, ビン	たよ・り	Uma pessoa (亻) que muda (更) algo para o correio ou entrega conveniente.	N3
適	Adequado, apropriado	テキ	Não possui	Seguir pelo caminho (辶) que leva à base ou caule (啇) adequado.	N3
吹	Soprar	スイ	ふ・く	Abrir a boca (口) como em um bocejo (欠) para soprar o ar.	N3
候	Clima, aguardar	コウ	そうろう	Uma pessoa (亻) que observa o alvo e aguarda a mudança do clima.	N3
怖	Medo, assustador	フ	こわ・い	O coração (忄) que se torna como um pano (布) trêmulo devido ao medo.	N3
辞	Palavra, renunciar	ジ	や・める	Usar a língua (舌) em situação difícil (辛) para dizer uma palavra ou renunciar.	N3
否	Negar, não	ヒ	いな	Usar a boca (口) para dizer o não (不) e negar algo.	N3
遅	Lento, tarde	チ	おく・れる, おく・らす, おそ・い	Um corpo (尸) de ovelha (羊) que percorre o caminho (辶) de forma lenta.	N3
煙	Fumaça	エン	けむ・る, けむり, けむ・い	O fogo (火) sob uma cobertura (覀) de terra (土) que gera fumaça.	N3
徒	Seguidor, a pé	ト	Não possui	Dar passos (彳) ao correr (走) como um seguidor que vai a pé.	N3
欠	Falta, bocejo	ケツ	か・ける, か・く	Representação de uma pessoa com a boca aberta devido a um bocejo ou falta.	N3
迷	Perder-se, perplexo	メイ	まよ・う	Espalhar arroz (米) pelo caminho (辶) para não se perder.	N3
洗	Lavar	セン	あら・う	O uso da água (氵) para limpar o que estava antes (先) ao lavar.	N3
互	Mútuo	ゴ	たが・い	Desenho de dois ganchos que se entrelaçam representando algo mútuo.	N3
才	Talento, gênio	サイ	Não possui	Representação de uma planta brotando que simboliza o talento nato.	N3
更	Mudar, tarde da noite	コウ	さら, ふ・ける, ふ・かす	Quando o dia (日) se cruza (乂) com o fim, marcando o mudar da noite.	N3
歯	Dente	シ	は	O que para (止) na boca (口) para mastigar o arroz (米): o dente.	N3
盗	Roubar	トウ	ぬす・む	Desejar o próximo (次) prato (皿) de comida a ponto de roubar.	N3
慣	Acostumar-se, hábito	カン	な・れる, な・らす	O que atravessa (貫) e permanece no coração (忄) como um hábito.	N3
晩	Noite, anoitecer	バン	Não possui	Quando o sol (日) escapa (免) do horizonte, marcando o anoitecer.	N3
箱	Caixa	ソウ	はこ	Uma caixa feita de bambu (竹) para guardar objetos com boa aparência (相).,,	N3
到	Chegar, atingir	トウ	いた・る	O ato de chegar (至) ao seu limite e usar uma faca (刂) para atingir o objetivo.,	N3
頂	Topo, receber	チョウ	いただ・く, いただき	O ponto mais alto ou topo da cabeça (頁) em uma seção (丁) do corpo.,	N3
杯	Copo, taça	ハイ	さかずき	Um recipiente de madeira (木) que não (不) deixa o líquido cair: o copo.,	N3
皆	Todos	カイ	みな	Comparar (比) várias pessoas sob a luz branca (白) para ver que estão todos lá.,	N3
招	Convidar, chamar	ショウ	まね・く	Usar a mão (扌) para convocar (召) alguém e a convidar.,	N3
寒	Frio	カン	さむ・い	Sob o telhado (宀), a grama (廿) e o poço (井) estão cobertos de gelo (冫) pelo frio.,,	N3
恥	Vergonha	チ	は・じる, はじ, は・じらう, は・ずかしい	Quando a orelha (耳) fica vermelha e o coração (心) bate forte devido à vergonha.,	N3
疲	Cansado, fadiga	ヒ	つか・れる	Uma doença (疒) que afeta a pele (皮) e deixa a pessoa sentindo-se cansada.,,	N3
貧	Pobre, pobreza	ヒン, ビン	まず・しい	Dividir (分) as poucas conchas ou dinheiro (貝) que restam na pobreza.,,	N3
猫	Gato	ビョウ	ねこ	Um animal (犭) que se esconde entre as mudas (苗) de plantas: o gato.,	N3
誤	Erro, errar	ゴ	あやま・る	Usar palavras (言) inadequadas ao dar (呉) uma informação, cometendo um erro.,	N3
努	Esforço	ド	つと・める	O sujeito ou escravo (奴) que usa toda a sua força (力) em um esforço.,	N3
幾	Quantos	キ	いく	Usar fios (幺) e lanças (戈) para perguntar a uma pessoa (人) quantos são.,	N3
賛	Aprovação	サン	Não possui	Dois homens (夫) que usam o dinheiro (貝) para dar sua aprovação.,,	N3
偶	Acidente, acaso, par	グウ	Não possui	Uma pessoa (亻) que encontra um sinal (禺) por puro acaso ou acidente.,	N3
忙	Ocupado	ボウ, モウ	いそが・しい	O coração (忄) de quem sente que a vida está fugindo (亡) por estar muito ocupado.,	N3
泳	Nadar	エイ	およ・ぐ	A água (氵) que flui por uma eternidade (永) permitindo o ato de nadar.,	N3
靴	Sapato	カ	くつ	Mudar (化) o couro (革) para criar um sapato.,,	N3
偉	Excelente, grande	イ	えら・い	Uma pessoa (亻) que segue a regra (韋) de ser excelente.,	N3
軍	Forças armadas	グン, クン	Não possui	Carros (車) sob uma cobertura (冖) prontos para as forças armadas.,	N2
兵	Soldado	ヘイ, ヒョウ	Não possui	Um soldado que usa um machado (斤) dividido em partes (八).,,	N2
島	Ilha	トウ	しま	Um pássaro (鳥) voando sobre uma montanha (山) no meio do mar: uma ilha.,,	N2
村	Vila	ソン	むら	Uma árvore (木) plantada em uma pequena medida (寸) de terra em uma vila.,,	N2
門	Portão	モン	かど	Representação visual das duas folhas de um portão de entrada.,	N2
戸	Porta	コ	と	Desenho simplificado de uma porta de batente único.,	N2
武	Militar, artes marciais	ブ, ム	Não possui	Parar (止) o uso da lança (弋) para garantir a ordem militar.,	N2
城	Castelo	ジョウ, セイ	しろ	Usar a terra (土) para tornar-se (成) uma estrutura forte como um castelo.,,	N2
総	Total, geral	ソウ	Não possui	O coração (心) público (公) unido por fios (糸) no valor total.,,	N2
団	Grupo	ダン, トン	Não possui	Um espaço cercado (囗) de uma certa medida (寸) que abriga um grupo.,,	N2
線	Linha	セン	Não possui	Fios (糸) que fluem como a água de uma fonte (泉) formando uma linha.,	N2
設	Estabelecer	セツ	もう・ける	Usar as palavras (言) e uma ferramenta (殳) para estabelecer um plano.,	N2
勢	Poder, energia	セイ	いきお・い	A força (力) de pernas (儿) sobre a terra (土) que gera grande poder.,,	N2
党	Partido político	トウ	Não possui	O irmão mais velho (兄) sob um brilho (⺌) liderando um partido.,,	N2
史	História	シ	Não possui	Uma boca (口) que faz uma marca (乂) para registrar a história.,,	N2
営	Administrar, acampamento	エイ	いとな・む	Administrar o brilho (⺌) sob o telhado (冖) para sustentar a espinha (呂).,	N2
府	Prefeitura	フ	Não possui	Um abrigo (广) onde se anexam (付) os documentos da prefeitura.,,	N2
巻	Enrolar, volume	カン, ケン	ま・く, まき	Usar as mãos (𠔉) e o fogo (火) para enrolar algo em si mesmo (己).,,	N2
介	Intermediar	カイ	Não possui	Uma pessoa (人) que se coloca no meio de uma linha (丨) para intermediar.,,	N2
蔵	Armazém	ゾウ, ソウ	くら	Sob o penhasco (厂) e a grama (艹), o retentor guarda a lança no armazém.,,	N2
造	Construir, fazer	ゾウ	つく・る	Anunciar (告) o caminho (辶) a ser seguido para construir ou fazer algo.,,	N2
根	Raiz	コン	ね	A parte da árvore (木) que atinge o seu limite (艮) sob a terra: a raiz.,,	N2
寺	Templo budista	ジ	てら	Um local de terra (土) medido (寸) com precisão para ser um templo.,,	N2
査	Investigação	サ	Não possui	Usar a madeira (木) sobre um altar (且) para realizar uma investigação.,,	N2
将	Comandante	ショウ	Não possui	Um comandante sobre um suporte (丬) que usa a garra (爫) e a medida (寸).,,	N2
改	Mudar, reformar	カイ	あらた・める, あらた・まる	A ação (攵) de olhar para si mesmo (己) para se reformar ou mudar.,,	N2
県	Província	ケン	Não possui	Um olho (目) pequeno (小) que vigia o gancho (乚) de uma província.,,	N2
泉	Fonte	セン	いずみ	A água (水) branca (白) e pura que brota de uma fonte.,,	N2
像	Estátua, imagem	ゾウ	Não possui	Uma pessoa (亻) que esculpe a forma de um elefante (象) em uma estátua.,,	N2
細	Fino, detalhe	サイ	ほそ・い, ほそ・る, こま・か, こま・かい	Fios (糸) que cruzam um campo (田) de forma muito detalhada ou fina.,,	N2
谷	Vale	コク	たに	Uma abertura (口) entre as encostas (八) por onde uma pessoa (人) passa no vale.	N2
奥	Interior	オク, オウ	おく	Dentro de um cercado (冂) e grande (大), guardam-se os grãos de arroz (米) no interior.	N2
再	Novamente	サイ, サ	ふたた・び	Uma linha (一) que fecha um cercado (冂) sobre a terra (土) para fazer algo novamente.	N2
血	Sangue	ケツ	ち	Uma gota (丶) de líquido dentro de um prato (皿) representando o sangue.	N2
算	Calcular	サン	Não possui	Usar varas de bambu (竹) observadas pelo olho (目) com as mãos (廾) para calcular.	N2
象	Elefante	ショウ, ゾウ	Não possui	A cabeça (⺈, 口) e o corpo de um animal grande como um porco (豕) para o elefante.	N2
清	Puro, claro	セイ, ショウ, シン	きよ・い, きよ・まる, きよ・める	A água (氵) que mantém a cor fresca ou azul (青) por ser pura.	N2
技	Habilidade, técnica	ギ, キ	わざ	Usar a mão (扌) para segurar um galho (支) ou ferramenta com habilidade.	N2
州	Estado, província	シュウ	す	Pequenos pontos de terra (丶) que surgem em meio a um rio (川) formando um estado.	N2
領	Território, posse	リョウ	Não possui	Receber a ordem (令) no topo da página (頁) para assumir a posse de um território.	N2
橋	Ponte	キョウ	はし	Construção de madeira (木) que se eleva de forma alta (喬) para formar uma ponte.	N2
芸	Arte, ofício	ゲイ	Não possui	Cultivar a grama (艹) que se move leve como as nuvens (云) em uma arte.	N2
型	Tipo, padrão, forma	ケイ	かた	Usar a terra (土) em um molde que segue uma regra ou punição (刑) para definir o tipo.	N2
香	Fragrância	コウ, キョウ	か, かお・り, かお・る	O aroma dos grãos (禾) secando sob o sol (日) criando uma fragrância.	N2
量	Quantidade	リョウ	はか・る	Medir o que o sol (日) ilumina em uma (一) vila (里) para saber a quantidade.	N2
久	Longo tempo	キュウ, ク	ひさ・しい	Representação visual de uma pessoa que caminha devagar, indicando um longo tempo.	N2
境	Fronteira, limite	キョウ, ケイ	さかい	Onde uma pessoa (儿) fica de pé (立) na terra (土) sob o sol (日) na fronteira.	N2
階	Andar, escada	カイ	Não possui	Em um local murado (阝), todos (皆) sobem os degraus para chegar ao próximo andar.	N2
区	Distrito, ala	ク	Não possui	Uma caixa (匚) marcada com um sinal (乂) para delimitar um distrito.	N2
波	Onda	ハ	なみ	A água (氵) que se move como a superfície da pele (皮) formando uma onda.	N2
移	Mover, transferir	イ	うつ・る, うつ・す	Levar muitos (多) fardos de grãos (禾) de um lugar para outro ao mover.	N2
域	Área, região	イキ	Não possui	Um pedaço de terra (土) protegido por armas (戈) e delimitado (口, 一) como uma área.	N2
周	Circunferência, volta	シュウ	まわ・り	Cercar (冂) a terra (土) e a boca (口) para completar uma circunferência.	N2
接	Contato, juntar	セツ, ショウ	つ・ぐ	Usar a mão (扌) para ajudar uma mulher (女) a ficar de pé (立) em um contato.	N2
鉄	Ferro	テツ	Não possui	O metal (金) que se perde (失) ou se desgasta facilmente: o ferro.	N2
頃	Tempo, cerca de	ケイ	ころ	Inclinar a cabeça (頁) com uma colher (匕) para marcar um momento ou tempo.	N2
材	Madeira, material	ザイ, サイ	Não possui	A madeira (木) que possui o talento (才) ou qualidade para ser usada como material.	N2
個	Indivíduo, contador geral	コ, カ	Não possui	Uma pessoa (亻) que se mantém firme e sólida (固) como um único indivíduo.	N2
協	Cooperação	キョウ	Não possui	Unir dez (十) tipos de força (力) para realizar uma cooperação.	N2
各	Cada	カク	おのおの	Onde o pé (夂) de cada um chega para falar com sua própria boca (口): cada um.	N2
帯	Cinto, usar, levar consigo	タイ	お・びる, おび	Um pano (巾) sob uma cobertura (冖) usado por gerações (丗) como um cinto.	N2
歴	História, currículo	レキ	Não possui	Sob um penhasco (厂), o bosque (林) que parou (止) de crescer marcando sua história.	N2
編	Tricotar, editar	ヘン	あ・む	Usar fios (糸) na porta (戸) seguindo as instruções de um livro (冊) para tricotar.	N2
裏	Fundo, verso, interior	リ	うら	O que está escondido dentro da roupa (衣) na vila (里): o fundo ou verso.	N2
比	Comparar	ヒ, ビ	くら・べる	Representação de duas pessoas lado a lado para se comparar.	N2
坂	Ladeira, encosta	ハン	さか	A terra (土) que se inclina para o lado oposto (反) formando uma ladeira.	N2
装	Vestuário, equipar	ソウ, ショウ	よそお・う	Uma roupa (衣) usada por alguém robusto (壮) como seu vestuário.	N2
省	Conservar, omitir, ministério	セイ, ショウ	かえり・みる, はぶ・く	Usar o olho (目) para ver o que é pouco (少) e assim conservar.	N2
税	Imposto, taxa	ゼイ	Não possui	Entregar os grãos (禾) sob a supervisão do irmão mais velho (兄) como um imposto.	N2
競	Competir	キョウ, ケイ	きそ・う, せ・る	Dois irmãos mais velhos (兄) que ficam de pé (立) um contra o outro para competir.	N2
囲	Cercar, perímetro	イ	かこ・む, かこ・う	Um espaço cercado (囗) que protege o poço (井) da vila ao cercar.	N2
辺	Proximidade, beira	ヘン	あた・り, べ	Percorrer um caminho (辶) curto como o corte de uma faca (刀) em uma proximidade.	N2
河	Rio	カ, ガ	かわ	A água (氵) que torna a vida possível (可) ao fluir em um rio.	N2
極	Extremo, polo	キョク, ゴク	きわ・める, きわ・まる, きわ・み	Uma árvore (木) com duas marcas (二, 口, 又) indicando o seu ponto extremo.	N2
防	Defender, prevenir	ボウ	ふせ・ぐ	Usar um muro (阝) em cada direção (方) para se defender.	N2
低	Baixo	テイ	ひく・い, ひく・める, ひく・まる	Uma pessoa (亻) de um clã (氏) que se curva com um ponto (丶) indicando que é baixo.	N2
林	Bosque	リン	はやし	Duas árvores (木) juntas representando um bosque.	N2
導	Guiar, conduzir	ドウ	みちび・く	Seguir o caminho (道) medindo cada pequeno passo (寸) para guiar alguém.	N2
森	Floresta	シン	もり	Três árvores (木) juntas representando uma floresta densa.	N2
丸	Redondo	ガン	まる, まる・い, まる・める	O número nove (九) com um ponto (丶) central para representar algo redondo	N2
胸	Peito, tórax	キョウ	むね, むな	O corpo (月) envolto (勹) que protege as partes cruzadas (乂) na cavidade (凵) do peito.	N2
陸	Terra firme, continente	リク, ロク	Não possui	Um local murado (阝) de terra (土) firme onde as pernas (儿) se dividem (八) ao caminhar.	N2
療	Tratamento médico	リョウ	Não possui	Alguém doente (疒) que busca um grande (大) alívio sob o sol (日) através de um tratamento.	N2
諸	Vários, diversos	ショ	Não possui	As palavras (言) ditas por uma pessoa (者) sobre vários assuntos ou temas.	N2
管	Tubo, cano, administrar	カン	くだ	Um objeto de bambu (竹) usado por um oficial (官) como um tubo ou cano.	N2
仲	Relação, intermediário	チュウ	なか	Uma pessoa (亻) que fica no meio (中) para facilitar uma relação ou intermediar.	N2
革	Couro, reforma	カク	かわ	Representação de uma pele de animal esticada (廿, 中, 十) para se tornar couro.	N2
担	Carregar no ombro, arcar	タン	かつ・ぐ, にな・う	Usar a mão (扌) para levantar algo ao amanhecer (旦) e carregar no ombro.	N2
効	Efeito, eficácia	コウ	き・く	O resultado da troca (交) de força (力) que gera um efeito ou eficácia.	N2
賞	Prêmio, elogio	ショウ	Não possui	O brilho (⺌) sobre o dinheiro (貝) guardado sob uma cobertura por um prêmio.	N2
星	Estrela	セイ, ショウ	ほし	O que nasce (生) no céu quando o sol (日) se põe: a estrela.	N2
復	Retornar, restaurar	フク	Não possui	Dar passos (彳) durante o dia (日) para retornar ao ponto de partida.	N2
片	Pedaço, um lado	ヘン	かた	Representação de um lado de um tronco de madeira partido, um pedaço.	N2
並	Enfileirar, comum	ヘイ	なみ, なら・べる, なら・ぶ, なら・びに	Objetos colocados sobre uma linha (一) para os enfileirar de forma comum (业).	N2
底	Fundo, base	テイ	そこ	Sob um abrigo (广), a base ou origem (氏) que marca o fundo.	N2
温	Morno, calor	オン	あたた・か, あたた・かい, あたた・まる, あたた・める	A água (氵) aquecida pelo sol (日) dentro de um prato (皿) fica mornа.	N2
軽	Leve	ケイ	かる・い, かろ・やか	Um carro (車) feito de terra (土) e outros materiais que se torna leve.	N2
録	Registro, gravar	ロク	Não possui	Usar o metal (金) para gravar com a mão (彐) e água (氺) um registro.	N2
腰	Lombar, quadril	ヨウ	こし	A parte do corpo (月) que é essencial (要) para o movimento: a lombar.	N2
著	Autor, notável	チョ	あらわ・す, いちじる・しい	Uma pessoa (者) que usa a grama (艹) para registrar algo e ser um autor.	N2
乱	Desordem, confusão	ラン, ロン	みだ・れる, みだ・す	O uso da língua (舌) que se enrola (乚) em uma desordem ou confusão.	N2
章	Capítulo, distintivo	ショウ	Não possui	Ficar de pé (立) cedo (早) para escrever o próximo capítulo.	N2
殿	Senhor, palácio	デン, テン	との, どの	O corpo (尸) de um líder que age junto (共) com ferramentas (殳) como um senhor.	N2
布	Pano, espalhar	フ	ぬの	Uma mão (ナ) que estende um pano (巾) para o espalhar.	N2
角	Chifre, canto, ângulo	カク	かど, つの	Representação visual de um chifre de animal ou de um recipiente.	N2
仏	Buda, França	ブツ, フツ	ほとけ	Uma pessoa (亻) que foca em seu estado privado (ム) para se tornar um Buda.	N2
永	Eternidade, longo tempo	エイ	なが・い	Uma gota (丶) adicionada à água (水) que flui por uma eternidade.	N2
誌	Revista, documento	シ	Não possui	Palavras (言) que expressam a intenção (志) em uma revista ou documento.	N2
減	Diminuir, subtrair	ゲン	へ・る, へ・らす	A água (氵) que é afetada por uma pressão total (咸) até diminuir.	N2
略	Abreviação, omitir	リャク	Não possui	Organizar cada (各) parte do campo (田) de forma resumida ou abreviação.	N2
準	Padrão, semi-	ジュン, シュン	Não possui	Usar a água (氵) nivelada e a ave (隹) como sinal de padrão.	N2
委	Confiar, comitê	イ	ゆだ・ねる	Uma mulher (女) encarregada de cuidar dos grãos (禾) ao lhe confiar a tarefa.	N2
令	Ordem, comando	レイ	Não possui	Sob um telhado (亼), o sinal de uma ferramenta (マ) para dar uma ordem.	N2
刊	Publicação, editar	カン	Não possui	Usar uma faca (刂) para entalhar madeira seca (干) em uma publicação.	N2
焼	Queimar, assar	ショウ	や・く, や・ける	O uso do fogo (火) em um local elevado (尭) para queimar ou assar.	N2
里	Vila, unidade de distância	リ	さと	Um campo de arroz (田) sobre a terra (土) que forma uma vila.	N2
圧	Pressão, oprimir	アツ, オウ	Não possui	Sob um penhasco (厂), o peso da terra (土) que exerce pressão.	N2
額	Quantia, testa, moldura	ガク	ひたい	O que um visitante (客) apresenta na sua página (頁) como uma quantia.	N2
印	Marca, carimbo, selo	イン	しるし	Uma garra (爪) que pressiona um oficial (卩) para deixar uma marca.	N2
池	Lagoa, poço	チ	いけ	A água (氵) que se estende por uma superfície (也) formando uma lagoa.	N2
臣	Retentor, criado	シン, ジン	Não possui	Representação visual do olho vigilante de um retentor ou criado.	N2
庫	Armazém, depósito	コ, ク	Não possui	Um abrigo (广) usado para guardar o carro (車) no armazém.	N2
農	Agricultura, fazenda	ノウ	Não possui	O uso de ferramentas curvas (曲) durante o tempo certo (辰) para a agricultura.	N2
板	Tábua, prancha	ハン, バン	いた	A madeira (木) que é cortada do lado oposto (反) para formar uma tábua.	N2
恋	Amor romântico	レン	こ・う, こい, こい・しい	Quando algo se torna estranho (亦) e mexe com o coração (心): o amor.	N2
羽	Penas, asas	ウ	は, はね	Representação visual de duas penas ou asas de pássaro.	N2
専	Exclusivo, especializado	セン	もっぱ・ら	Dedicar dez (十) medidas (寸) de um campo (田) para uso exclusivo.	N2
逆	Reverso, oposto	ギャク	さか, さか・らう	Seguir um caminho (辶) na direção oposta (屰) ao reverso.	N2
腕	Braço, habilidade	ワン	うで	A parte do corpo (月) alocada (宛) para a força: o braço.	N2
短	Curto, breve	タン	みじか・い	Uma flecha (矢) tão pequena quanto um grão de feijão (豆) é considerada curta.	N2
普	Universal, comum	フ	Não possui	O sol (日) que brilha sobre todas as coisas enfileiradas (並) de forma universal.	N2
岩	Rocha, pedregulho	ガン	いわ	Uma pedra (石) grande que faz parte de uma montanha (山).	N2
竹	Bambu	チク	たけ	Representação visual estilizada de dois ramos de bambu.	N2
児	Criança, recém-nascido	ジ, ニ	Não possui	Uma pequena pessoa (儿) em sua fase inicial ou de origem (旧).	N2
毛	Pelo, cabelo, lã	モウ, ボウ	け	Representação visual de fios de pelo, cabelo ou lã.	N2
版	Edição, bloco de impressão	ハン, バン	Não possui	Um pedaço de madeira (片) usado para imprimir no lado oposto (反).	N2
宇	Universo, beirais	ウ	Não possui	O telhado (宀) infinito que cobre todo o espaço (于) do universo.	N2
況	Condição, situação	キョウ	Não possui	A situação da água (氵) conforme explicada pelo irmão mais velho (兄).	N2
被	Sofrer, incorrer, cobrir	ヒ	こうむ・る	Uma pele (皮) ou capa que cobre a roupa (衤) ao sofrer uma ação.	N2
岸	Praia, margem, costa	ガン	きし	Onde a montanha (山) encontra o penhasco (厂) seco (干) à beira-mar: a praia.	N2
超	Ultrapassar, super-	チョウ	こ・える, こ・す	Correr (走) para onde foi convocado (召), ultrapassando os limites.	N2
豊	Abundante, rico	ホウ	ゆた・か	Recipiente ou vaso (豆) cheio de grãos celebrado com música (曲) em abundância.	N2
含	Incluir, conter	ガン	ふく・む, ふく・める	O que se tem na boca (口) agora (今) ou o que está incluído.	N2
植	Plantar	ショク	う・える, う・わる	Colocar a madeira ou árvore (木) diretamente (直) na terra para plantar.	N2
補	Suplemento, compensar	ホ	おぎな・う	Usar um pedaço de campo ou pano (甫) para compensar um furo na roupa (衤).	N2
暴	Violência, expor	ボウ, バク	あば・く, あば・れる	O sol (日) e a água (氺) agindo juntos (共) para expor algo com violência.	N2
課	Seção, lição	カ	Não possui	Palavras (言) que explicam o resultado (果) de uma seção ou lição.	N2
跡	Marca, vestígio, ruínas	セキ	あと	As marcas estranhas (亦) deixadas pelo pé (足) como um vestígio.	N2
触	Tocar, sentir	ショク	ふ・れる, さわ・る	Um inseto (虫) que usa seus chifres ou antenas (角) para tocar algo.	N2
玉	Joia, bola	ギョク	たま	A joia preciosa (王) que o rei guarda consigo marcada por um ponto (丶).	N2
震	Tremer, terremoto	シン	ふる・う, ふる・える	O dragão (辰) que agita o tempo sob a chuva (雨), fazendo a terra tremer.	N2
億	Cem milhões	オク	Não possui	O que uma pessoa (亻) pode imaginar (意) como um número vasto: cem milhões.	N2
肩	Ombro	ケン	かた	A parte do corpo (月) que sustenta como os gonzos de uma porta (戸): o ombro.	N2
劇	Drama, teatro	ゲキ	Não possui	Uma luta dramática entre um tigre (虍) e um porco (豕) decidida pela faca (刂).	N2
刺	Espinho, perfurar	シ, セキ	さ・す, さ・さる	O espinho (朿) que corta e perfura como uma faca (刂).	N2
述	Mencionar, relatar	ジュツ	の・べる	Seguir o caminho (辶) para relatar ou mencionar uma técnica (朮).	N2
輪	Roda, anel	リン	わ	As partes organizadas (侖) que formam a roda de um carro (車).	N2
浅	Raso, superficial	セン	あさ・い	Água (氵) tão pouca (戔) que mal cobre pequenas lanças: algo raso.	N2
純	Puro	ジュン	Não possui	Fios (糸) de seda reunidos (屯) em seu estado natural e puro.	N2
薄	Fino, diluído	ハク	うす・い, うす・める, うす・まる, うす・らぐ, うす・れる	Grama (艹) diluída em muita água (氵) e espaço (溥), tornando-a rala ou fina.	N2
阪	Encosta, ladeira	ハン	Não possui	O lado oposto (反) de uma colina ou muro (阝) formando uma ladeira.	N2
韓	Coreia do Sul	カン	Não possui	O sol nascendo (𠦝) sobre um local cercado por muralhas de couro (韋).	N2
固	Sólido, firme	コ	かた・める, かた・まる, かた・い	Algo velho (古) que se tornou sólido e firme dentro de um cercado (囗).	N2
巨	Gigante	キョ, コ	Não possui	Representação visual de uma ferramenta de medição ou esquadro gigante.	N2
講	Palestra, aula	コウ	Não possui	Palavras (言) usadas para construir uma estrutura (冓) de conhecimento: a palestra.	N2
般	Geral, todos	ハン	Não possui	O movimento rítmico de um barco (舟) usando uma ferramenta (殳) de forma geral.	N2
湯	Água quente, banho	トウ	ゆ	Água (氵) aquecida pelo brilho do sol (昜) para o banho.	N2
捨	Descartar, jogar fora	シャ	す・てる	Usar a mão (扌) para tirar algo do alojamento (舎) e descartar.	N2
衣	Roupa, vestuário	イ, エ	ころも	Representação estilizada de um manto ou vestuário dobrado.	N2
替	Trocar, substituir	タイ	か・える, か・わる	Homens ou maridos (夫) que se revezam sob o sol (日) ao trocar de turno.	N2
央	Centro	オウ	Não possui	Alguém grande (大) posicionado exatamente no centro de um espaço (冂).	N2
骨	Osso	コツ	ほね	A estrutura do crânio (冎) e do corpo (月) que forma o osso.	N2
齢	Idade	レイ	Não possui	Contar a idade pela ordem (令) de crescimento ou perda dos dentes (歯).	N2
照	Iluminar, brilhar	ショウ	て・る, て・らす, て・れる	O brilho luminoso (昭) intensificado pelas chamas do fogo (灬) ao iluminar.	N2
層	Camada, estrato	ソウ	Não possui	Camadas de corpos (尸) ou coisas que se acumularam anteriormente (曾).	N2
弱	Fraco	ジャク	よわ・い, よわ・る, よわ・まる, よわ・める	Arcos (弓) que se tornam fracos e quebradiços como o gelo (冫).	N2
築	Construir, edificar	チク	きず・く	Usar bambu (竹), madeira (木) e uma base (筑) para construir.	N2
脳	Cérebro	ノウ, ドウ	Não possui	"O fluxo (巛) de pensamentos guardado na ""caixa"" (凶) do corpo (月): o cérebro."	N2
航	Navegar, voar	コウ	Não possui	Um barco (舟) que se eleva alto (亢) para navegar ou voar.	N2
快	Agradável, rápido	カイ, ケ	こころよ・い	Um coração (忄) que se sente leve e agradável após uma decisão (夬) rápida.	N2
翌	Seguinte, próximo	ヨク	Não possui	Ficar de pé (立) com as asas (羽) prontas para o próximo dia.	N2
旧	Velho, antigo	キュウ	Não possui	Uma linha (丨) que atravessa o sol (日) representando tempos antigos.	N2
筆	Pincel de escrita	ヒツ	ふで	O uso de uma ferramenta (聿) feita de bambu (竹) para criar um pincel.	N2
換	Trocar, substituir	カン	か・える, か・わる	Usar a mão (扌) para realizar uma troca ou substituição.	N2
群	Grupo, rebanho	グン	む・れる, む・れ, むら	Um mestre ou líder (君) que conduz um rebanho de ovelhas (羊) em um grupo.	N2
爆	Explosão	バク	Não possui	O uso do fogo (火) com violência (暴) resulta em uma explosão.	N2
捜	Buscar, procurar	ソウ	さが・す	Usar a mão (扌) para buscar ou procurar algo.	N2
油	Óleo, azeite	ユ, ユウ	あぶら	Líquido semelhante à água (氵) que flui de uma origem ou razão (由): o óleo.	N2
叫	Gritar	キョウ	さけ・ぶ	Uma boca (口) que se contorce ou se prende (丩) para gritar.	N2
伸	Estender, alongar	シン	の・びる, の・ばす, の・べる	Uma pessoa (亻) que faz um relato ou comunicação (申) ao se estender.	N2
